author,roi,date_event,time_event,team_home,team_away,odds,bet,forecast,like,dislike,date_publish
"Илья(ExperT RB) ♋︎❻❾✅",+3.05%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Думаю, что Химки начнут сезон с победы, уж над таким соперником.",0,0,"Сегодня в 10:27"
"Курский Профик",-14.00%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Сегодня на своём стадионе команда Тюмень будет принимать подмосковные Химки которые в этом году начинают свой путь в лучшей футбольной лиге мира. По моему мнению в этом поединке подмосковная команда должна иметь ощутимый перевес всё-таки. Как мы с вами понимаем они ещё имеют неплохой состав после вылета из высшей лиги а вот как раз Тюменская команда такой роскоши не может похвастаться. Даже несмотря на то что сейчас Тюменская команда показывает хороший футбол товарищеских матчах не играет практически без поражений я бы всё-таки здесь всё равно взял подмосковные Химки победителем матча.",0,0,"Сегодня в 10:36"
"Viktor WIN-Bet",-3.41%,"17 июл",14:00,"Тюмень",Химки,1.59,"ФОРА 2 (0)","Встреча первого тура в российской Первой Лиге (ФНЛ) между новичками этой самой ФНЛ - хозяева поля ФК ""Тюмень"" прошлый сезон провели во второй лиге и сумели добиться повышения в классе, а вот гости матча подмосковные ФК ""Химки"", наоборот, не сумели сохранить прописку в нашем элитном дивизионе и покинули РПЛ, правда, поставив цель вернуться обратно за один сезон. у химчан амбициозное руководство, и при этом у них часть состава сохранилось от высшей лиги, и имеют немалый опыт выступлений на высоком уровне, чего не скажешь об игроках тюменского клуба. Именно опыт может сыграть решающую роль в этом поединке, поэтому думаю, что гости, как минимум, не проиграют в Тюмени.",0,0,"Сегодня в 10:44"
"Орлов  Николай",-2.77%,"17 июл",14:00,"Тюмень",Химки,1.90,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1)","Думаю Тюмень как минимум мяч забьет , но все же в победу в них верить не буду хоть они и выиграли лигу два .",0,0,"Сегодня в 11:03"
"Глория Джинс",+15.95%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Первый тур первой лиги, встречаются Тюмень против Химок.
Оба клуба в прошлом году играли в разного уровня лигах. Тюмень добилась повышения и будет стараться удержаться в лиге. Химки же напротив спустились на ступень ниже и ставят задачи как можно скорее вернуться обратно в элиту.
Химки обладает более мощным составом по сравнению с соперником. Тренер остался Талалаев , который знает как играть в первой лиги, и за счет силы характера добывать результата. Да у Тюмени наверняка будет полны стадион, но Химки обученная команда и должна стартовать только с победы.
Думаю более мастеровитая команда Химок сможет взять три очка сегодня.",0,0,"Сегодня в 11:10"
"Александр Фирсов",-32.06%,"17 июл",14:00,"Тюмень",Химки,1.65,"ДВОЙНОЙ ШАНС 1X","У Химок есть проблемы с баном ФИФА, пока им его не сняли, они не могут зарегистрировать новичков. В Тюмень на всякий случай выехали молодые ребята из Химок 2. Тюменцы нормально усилились и могут потянуть ничью в случае выхода на поле молодых химчан.",0,0,"Сегодня в 11:39"
"Slava Ki",-34.47%,"17 июл",14:00,"Тюмень",Химки,1.59,"ФОРА 2 (0)","В первой российской лиге Тюмень принимает подмосковные Химки. Ставит на первый тур опасно, не понятно в какой физической, функциональной форме и с каким моральным состоянием команды подошли к началу сезона. Но всё таки уровень команд, включая опыт игроков на высоком уровне, серьезно отличается и хозяевам поля придется скорее всего сдерживать натиск Химок. Подмосковная команда по моему мнению является одним из фаворитом текущего сезона в ФНЛ и с первых матчей будут доказывать свою состоятельность, что вылет из Премьер-Лиги был недоразумением. Есть опасения, что хозяева смогут свести матч вничью, страхуюсь победой гостей с форой (0).",0,0,"Сегодня в 12:26"
"MAGNUM OPUS",+43.39%,"17 июл",14:00,"Тюмень",Химки,1.64,"ДВОЙНОЙ ШАНС 1X","Тюмень явно не будет для Химок проходной командой, ибо номинальные хозяева данного противостояния перед попаданием в ФНЛ, были одной из сильнейших команд в своей группе, а Химки - вылетели из РПЛ, будучи на последнем месте. Стоит отметить, что игра будет проходить при поддержке домашней публики, соответственно, и играть будет намного легче.",0,0,"Сегодня в 13:05"
"Сергей Евтюхин",-5.72%,"17 июл",14:00,"Тюмень",Химки,1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","В рамках 1 тура Первой лиги очередной матч состоится в Тюмени.«Тюмень» вернулась в Первую лигу через четыре года отсутствия. В группе 4 Второй лиги России тюменцы заработали 60 очков за 27 туров, поэтому опередили второй «Иртыш» на девять.""Химки"" (Московская область) не смогли удержаться в высшем дивизионе и под руководством Талалаева попробуют туда вернуться.Хотя руководством клуба цели на сезон пока озвучены не были,все дело в финансировании.В этой игре мой выбор пал на ставку по угловым.Судя по прошедшим играм 1го тура команды еще только входят в сезон и угловыми не балуют.УГЛМ (9.5)",0,0,"Сегодня в 13:05"
"Русалина Ак-47",-7.17%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Новичок первой лиги Мелбет по футболу Черноморец, сегодня сразится с одним из стабильных клубов первенства. На своем поле, морячки встречаются с Владикавказской Аланией, которая к слову, в прошлом сезоне стала бронзовым призером и заняла третье место.

Я считаю, что в этом противостоянии, уверенную победу смогут добыть гости. Они заряжены на выход в Премьер лигу и при отсутствии Рубина и Балтики, возможно им это удастся.

Алания отлично провела прошлый сезон и я думаю, что этот клуб в будущем году вернется в Премьеру и покажет многим командам то, как нужно бороться с питерским Зенитом, хотя бы на своем поле.",0,0,"Вчера в 07:37"
"Артём Денисов",-15.60%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Предыдущий сезон от ""Алании"" был просто великолепен, команда из Владикавказа завершила его на третьей позиции, но вот уже отобраться в РПЛ не смогла по техническим причинам, так как не прошла лицензирование. Я не знаю, как сильно это ударит по команде, будем смотреть уже в этом розыгрыше Первой Лиги, ну а пока остается только гадать, в какой же форме она подойдет ко встрече с ""Черноморцем"". Хозяева только-только поднялись в этот дивизион, я уверен, что им будет очень сложно на старте, ведь это совершенно другой уровень. Почти все новички полностью проваливаются, и я думаю, что это именно та ситуация. ""Алания"" возьмет три очка.",0,0,"Вчера в 23:21"
"Лукас Айртон",-2.01%,"17 июл",16:30,"Черноморец","Алания",1.85,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Черноморец - Алания Владикавказ 

Всем обозревателям и любителям футбола мой пламенный привет! Сегодня продолжаем рассматривать матчи ФНЛ или ЛУЧШЕЙ лиги мира и на повестке дня нас ожидает встреча между повысившимся в дивизионе Черноморцем и Аланией из Владикавказа. В прошлом сезоне гости заняли 3-е место и Сегодня начинается их путь в высшую лигу страны, сейчас Рубина с Балтикой не будет, зато будет серьёзный конкурент в виде футбольного Клуба Родина, которые вчера успели выиграть у новичка из Саратова 4:0. Думаю что старт валить нельзя, поэтому буду брать победу Алании. Наблюдаем за этим классным дивизионом, и это не сарказм. Ждём продолжение всех остальных лиг.",0,0,"Сегодня в 05:07"
"Владислав Мунтяну",-10.99%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","В сегодняшней встрече в рамках первого тура Лучшей Лиги Мира встречаются новороссийский Черноморец и владикавказская Алания. Дерби южного края, двух принципиальных оппонентов. По моему мнению здесь стоит заигрывать победу Алании, т.к. они по моему мнению здесь являются фаворитом. В прошлом сезоне коллектив с Кавказа случайно не перешёл в высшую Российскую Лигу так как у них появились проблемы со стадионом и его не смогли аккредитовать для принятия игр высшего российского дивизиона. Это по моему мнению не является помехой для коллектива из Владикавказа и они одержать победу в этой игре",0,0,"Сегодня в 09:56"
"Илья(ExperT RB) ♋︎❻❾✅",+3.05%,"17 июл",16:30,"Черноморец","Алания",1.44,"ФОРА 1 (1)","Думаю, что больше гола черноморец не уступит. С возвращением их!",0,0,"Сегодня в 10:28"
"Курский Профик",-14.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Ещё один интересный поединок футбольной национальной лиги сегодня между командой Черноморцем и Алания Владикавказ. Мой прогноз наверное всё-таки в этом поединке будет без какой-то интриги потому что в этом сезоне всё-таки Владикавказская Алания является одним из главных претендентом на выход в высшую лигу. Впрочем как и в прошлом году тоже. Черноморец в принципе может в этом году постараться остаться в этом дивизионе но по-моему на большие шансов у этой команды рассчитывать точно нету, а уж тем более побеждать одного из фаворитов Даже несмотря на то что команда играет у себя в Новороссийске.",0,0,"Сегодня в 10:38"
"Артём Сергеев",+4.36%,"17 июл",14:00,"Тюмень",Химки,2.06,"ТОТАЛ БОЛЬШЕ (2.5)","Прогноз на основные исходы матча Тюмень - Химки:

И хозяева, и гости в прошлом сезоне не выступали в МЕЛБЕТ Первой Лиги России, но для одних пребывание в этом дивизионе шаг назад (речь о “Химках”, которые были в МИР РПЛ), а для других - однозначно шаг вперед, ведь хозяева играли в первенстве на уровень ниже. Казалось бы, гости в этой паре должны без проблем зарабатывать три балла, ведь уровень их футбола должен быть выше. Тем не менее, после окончания розыгрыша 2022/2023 годов в стане коллектива произошло много изменений (пришло много молодых игроков, достаточно футболистов ушло), поэтому не прогнозируем сильного перевеса в сторону вторых, но уверены, что хотя бы раз этот клуб сумеет отличиться в первом туре. Что же касается “Тюмени”, то в родных стенах в прошлом году команда отличалась 2.19 раз за 90 минут, поэтому будет логично предположить, что в следующих двух таймах первые не будут отсиживаться в обороне и постараются реализовать минимум один момент в финальной трети поля. Примечательно, что четыре из семи предыдущих очных противостояний будущих визави заканчивались обменом забитыми мячами, поэтому, соединяя все вышесказанное воедино, предлагаем вам сделать ...",0,0,"Вчера в 00:21"
"Александр Ничаев",-4.88%,"17 июл",14:00,"Тюмень",Химки,3.42,"НИЧЬЯ","Хозяева неплохо играют на своем поле, не должны проиграть.",0,0,"Вчера в 07:45"
"Алексей Сергеевич",-12.44%,"17 июл",14:00,"Тюмень",Химки,1.95,"ПОБЕДА 2","Химки одни из фаворитов на возвращение в РПЛ, надо бы начинать с победы.",0,0,"Вчера в 08:26"
"HawA CTABKA",+74.00%,"17 июл",14:00,"Тюмень",Химки,2.75,"ФОРА 2 (-1)","Первая лига России. Тюмень против Химок. Ждём уверенную от Химок",0,0,"Вчера в 08:48"
"Александр Шаулов",-4.03%,"17 июл",14:00,"Тюмень",Химки,2.00,"ПОБЕДА 2","Химки начнут сразу набирать очки им очень хочется вернутся РПЛ.",0,0,"Вчера в 09:37"
"Hockey Bets",-28.00%,"17 июл",14:00,"Тюмень",Химки,2.11,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1)","Футбол Первая Лига Россия

Тюмень : Химки

Индивидуальный тотал 1 Больше 1",0,0,"Вчера в 10:59"
"Евгений Горшенков",-11.80%,"17 июл",14:00,"Тюмень",Химки,1.74,"ДВОЙНОЙ ШАНС 1X","Тюмень в первой игре на своём стадионе точно не проиграет..",0,0,"Вчера в 13:12"
"Виталий Крючков",-8.35%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","В этом дебюте команды в первые играют в первой лиге, и я ожидаю от этого матча, упорной борьбы на поле, и ожидаю увидеть, то что обе команды обменяются голами.",0,0,"Вчера в 13:35"
"Лизочка Вершинина",+163.33%,"17 июл",14:00,"Тюмень",Химки,3.59,"ПОБЕДА 1","Почему-то есть ощущение, что Химки также, как Уфа будут на дне таблицы в этом году, как уфимцы в прошлом.
Тюмень, не стоит забывать, что из весьма богатого региона, и немало странных матчей играла с крупными разгромами по 4-0 и т.п. Пусть лига и другая, а у Химок опыт игры в премьер лиге. Но я считаю, открытие сезона + повышение в статусе - хороший повод грузить за почти 4.0 на андердога!
Тут будет аншлаг, и даже думаю 2-0, 3-0 весьма возможны.",0,0,"Вчера в 14:59"
"Виктор Денисов",-15.71%,"17 июл",14:00,"Тюмень",Химки,3.59,"ПОБЕДА 1","Здравствуйте тут я делаю прогноз на поьеду команды Тюмень они фавориты в данном матче будут.",0,0,"Вчера в 15:01"
"Ксюша Кудряшова",+90.00%,"17 июл",14:00,"Тюмень",Химки,6.90,"ФОРА 1 (-1)","Тут может быть и разгром, Тюмень не исключено, что ставит задачи очень высокие. Дома клуб способен разгромить кого угодно",0,0,"Вчера в 15:10"
"Анатолий Шмелёв",-0.79%,"17 июл",14:00,"Тюмень",Химки,2.65,"ФОРА 1 (0)","Тюмень должна порадовать своих болельщиков победой в первом матче",0,0,"Вчера в 16:03"
"Оксана Курагина",-8.57%,"17 июл",14:00,"Тюмень",Химки,2.07,"ТОТАЛ БОЛЬШЕ (2.5)","Думается что тут будет открытый футбол много голов ставлю на тотал больше зайдет",0,0,"Вчера в 17:26"
"Артем Смирнов",+1.50%,"17 июл",14:00,"Тюмень",Химки,2.11,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Химки в прошлом сезоне не мало забивали . Тотал больше 1.5..",0,0,"Вчера в 19:34"
"Sacred Norris#",+8.02%,"17 июл",14:00,"Тюмень",Химки,1.53,"ФОРА 2 (0)","Тюмень не плохо подготовилась но все же у Химок состав весьма сильный",0,0,"Вчера в 20:17"
"Доцентъ Капперовский",-100.00%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Химки лишились спонсора, но все равно команда с амбициями и желанием вернуться в Рпл",0,0,"Вчера в 20:58"
"Геолог Тюмень",-10.00%,"17 июл",14:00,"Тюмень",Химки,1.82,"ОБЕ ЗАБЬЮТ (ДА)","Обе команды серьёзно обновились. Скорее всего, будут проблемы в обороне и у хозяев, и у гостей. А с ними - голы.",0,0,"Вчера в 21:32"
"Михаил Кирилко",-2.14%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Думаю,что коллектив Андрея Талалаева на классе переиграет Тюмень",0,0,"Вчера в 21:36"
"Дан Туркин",-7.39%,"17 июл",14:00,"Тюмень",Химки,3.29,"ПОБЕДА 1","Я считаю что Тюмень в этом матче сможет забрать победу в основное время",0,0,"Вчера в 22:28"
"Андрей Конский",-12.67%,"17 июл",14:00,"Тюмень",Химки,2.40,"ФОРА 1 (0)","Рискну поставить на хозяев с подстраховкой - гости вряд ли способны отобрать три очка у хозяев.",0,0,"Вчера в 22:40"
"Alexey Baryon",+1.71%,"17 июл",14:00,"Тюмень",Химки,1.42,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (0.5)","Думаю много голов не будет. Дом забьет возможно ничья. удач",0,0,"Вчера в 22:42"
"deesx ebaw",+3.45%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","химки начинают потеть за вовращение в рпл, думаю будет победа",0,0,"Вчера в 23:08"
"Александр Ожиганов",-25.54%,"17 июл",14:00,"Тюмень",Химки,1.75,"ТОТАЛ МЕНЬШЕ (2.5)","На мой взгляд, соперники в сегодняшнем матче будут осторожничать, дабы не пропустить. Могу предположить, что игра пройдет в центре поля с минимальным количеством голевых моментов. В двух из трех последних очных встреч зафиксирован тотал меньше, и считаю, что и сегодня матч будет низовым.",0,0,"Вчера в 23:25"
"Александр Бучнев",-21.60%,"17 июл",14:00,"Тюмень",Химки,2.10,"ТОТАЛ БОЛЬШЕ (2.5)","В прошлом сезоне в матчах с участием этих команд забивалось много голов.",0,0,"Вчера в 23:30"
"Mr.  Barinov",+14.33%,"17 июл",14:00,"Тюмень",Химки,1.58,"ФОРА 2 (0)","Лично моё мнение такого, что Химки точно не проиграют этот матч.",0,0,"Вчера в 23:57"
"Виталий низамутдинов",-8.70%,"17 июл",14:00,"Тюмень",Химки,1.96,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1)","Тюмень - Химки. Здесь Я думаю, что первая команда забьют один гол.",0,0,"Сегодня в 00:06"
"Миша Трынкин",-8.63%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","гости более опытная команда и в прошлом сезоне играли в лиге выше",0,0,"Сегодня в 00:08"
"Ольга Осипова",+4.23%,"17 июл",14:00,"Тюмень",Химки,2.40,"ФОРА 1 (0)","Тюмень играет хорошо сейчас и дома команда смотрится лучше Химок",0,0,"Сегодня в 00:16"
"Eager Beaver",-4.17%,"17 июл",14:00,"Тюмень",Химки,1.75,"ТОТАЛ МЕНЬШЕ (2.5)","Понедельник - день тяжелый. Какие могут быть голы? Проверю",0,0,"Сегодня в 00:23"
"AAA XXX",-4.76%,"17 июл",14:00,"Тюмень",Химки,2.93,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1.5)","Тюмень - Химки. Тюмень на домашнем поле забьёт два и более голов",0,0,"Сегодня в 02:03"
"ФЕДОР ЖИЛКИН",+4.79%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Химки начнут чемпионат с победы игра конечно будет трудноц",0,0,"Сегодня в 02:57"
"Юрий Юсупов",-7.84%,"17 июл",14:00,"Тюмень",Химки,3.25,"ПОБЕДА 1","Химки сейчас находятся в ужасной форме думаю команда проиграет очередной матч",0,0,"Сегодня в 04:07"
"Игорек Снайперок",0.00%,"17 июл",14:00,"Тюмень",Химки,3.00,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (7.5)","Думаю осторожный футбол будет. Тюмень пока неясно в каком вообще составе, много переходов, Химки в гостях редко играют активно. Проверю низы по угловым. А так думаю тут 1-0 хозяева вымучат победу, возможно судьи помогут",0,0,"Сегодня в 05:10"
"Спорт'smen 21",-19.89%,"17 июл",14:00,"Тюмень",Химки,3.32,"ФОРА 2 (-1)","Химки победят в первой встрече своей в Лиге 1 так что фора -1 беру",0,0,"Сегодня в 05:18"
"Ni4oz Ni4oz",+84.20%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Ну не может команда гостей не победить голов много не будет но парочку Химки забьют и чуйке нужно верить",0,0,"Сегодня в 06:05"
"Алексей Шикунов",-2.73%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Тюмень принимает Химки на мой взгляд гости сильнее победа за гостями",0,0,"Сегодня в 06:10"
"Игорь",-7.85%,"17 июл",14:00,"Тюмень",Химки,1.81,"ОБЕ ЗАБЬЮТ (ДА)","Думаю что в этом матче Тюмень и Химки смогут друг другу забить по голу",0,0,"Сегодня в 06:15"
"Родион Макин",-9.51%,"17 июл",14:00,"Тюмень",Химки,2.36,"ТОТАЛ МЕНЬШЕ (2)","врядли матч будет результативным. осторожно начнут команды наверняка",0,0,"Сегодня в 06:19"
"Серафима Одинокая",-4.19%,"17 июл",14:00,"Тюмень",Химки,1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","Тюмень - Химки могут не подать большое количество угловых.",0,0,"Сегодня в 06:35"
"Михаил Бурлаков",+0.35%,"17 июл",14:00,"Тюмень",Химки,2.08,"ТОТАЛ БОЛЬШЕ (2.5)","Я думаю игра будет результативная и нас ждёт много моментов в игре",0,0,"Сегодня в 06:47"
"Mary Winter",-11.20%,"17 июл",14:00,"Тюмень",Химки,2.36,"ФОРА 1 (0)","Понятное дело, что аналитики букмекерских компаний считают фаворитом предстоящего матча «Химки».",0,0,"Сегодня в 06:54"
"Седой Китаец",+0.98%,"17 июл",14:00,"Тюмень",Химки,3.00,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (7.5)","По мне такое количество угловых команды совместно не смогут пробить",0,0,"Сегодня в 06:55"
"Oili Makarainen",+0.70%,"17 июл",14:00,"Тюмень",Химки,1.76,"ТОТАЛ МЕНЬШЕ (2.5)","Что касается проклятия ""Тюмени"" в очных спорах, то я не рискну проверять его на прочность.",0,0,"Сегодня в 06:56"
"Андрей Берсенев",+14.23%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Химки постараются вернуться в премьер-лигу сразу, не затягивая.",0,0,"Сегодня в 06:56"
"Вовчик Логинович",+2.31%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Всем привет в этом матче я считаю чио гостей смогут выиграть",0,0,"Сегодня в 07:09"
"ANDREY NEVJANSK",-32.39%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","химки на выезде в тюмени обыграют новичков с минимальным счетом",0,0,"Сегодня в 07:11"
"Нефартовый беттор",-7.58%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Предположу что Химки наконец то выиграют свой первый матч.",0,0,"Сегодня в 07:17"
"Vadim Yakovlev",-22.11%,"17 июл",14:00,"Тюмень",Химки,2.36,"ФОРА 1 (0)","ну тюмень на своем поле вполне ссопсобна не рпоиграть а скорее всего даже выйграет 2 1",0,0,"Сегодня в 07:23"
"Кос На Юге Рос",-22.44%,"17 июл",14:00,"Тюмень",Химки,2.20,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (8.5)","Заиграем угловые, думаю максимум восемь подадут, верим в чудо",0,0,"Сегодня в 07:24"
"Алексей Крупляк",-4.65%,"17 июл",14:00,"Тюмень",Химки,1.32,"ТОТАЛ БОЛЬШЕ (1.5)","Химки вернулись в ФНЛ. Теперь надо начинать всё сначала. Очень интересный матч. Тюмени будет не просто противостоять более опытному сопернику.",0,0,"Сегодня в 07:30"
"Юрий Ильев",+21.00%,"17 июл",14:00,"Тюмень",Химки,1.63,"ДВОЙНОЙ ШАНС 1X","Тюмень очень надежная команда в обороне,полагаю хозяева сумеют взять очко.",0,0,"Сегодня в 07:43"
